Category,Count,Parent
AlfaRomeo,305,train
AstonMartin,411,train
Audi,344,train
Bentley,247,train
BMW,350,train
Citroen,259,train
Cupra,144,train
Dacia,250,train
Daewoo,200,train
Dodge,370,train
Fiat,306,train
Ford,233,train
Honda,298,train
Hyundai,314,train
Jaguar,377,train
Jeep,206,train
Kia,317,train
LandRover,334,train
Lexus,421,train
Maserati,267,train
Mazda,385,train
MercedesBenz,511,train
MG,224,train
MiniCooper,159,train
Mitsubishi,268,train
Nissan,248,train
Peugeot,322,train
Porche,336,train
Renault,265,train
Seat,327,train
Skoda,377,train
Smart,68,train
Subaru,302,train
Suzuki,218,train
Tesla,197,train
Toyota,432,train
Vauxhall,279,train
Volvo,370,train
VW,332,train
AlfaRomeo,78,test
AstonMartin,100,test
Audi,88,test
Bentley,61,test
BMW,87,test
Citroen,64,test
Cupra,37,test
Dacia,60,test
Daewoo,52,test
Dodge,89,test
Fiat,78,test
Ford,60,test
Honda,76,test
Hyundai,78,test
Jaguar,98,test
Jeep,53,test
Kia,79,test
LandRover,83,test
Lexus,101,test
Maserati,63,test
Mazda,92,test
MercedesBenz,128,test
MG,56,test
MiniCooper,38,test
Mitsubishi,71,test
Nissan,57,test
Peugeot,83,test
Porche,86,test
Renault,63,test
Seat,78,test
Skoda,92,test
Smart,20,test
Subaru,72,test
Suzuki,55,test
Tesla,50,test
Toyota,106,test
Vauxhall,70,test
Volvo,90,test
VW,79,test
AlfaRomeo,76,val
AstonMartin,97,val
Audi,83,val
Bentley,61,val
BMW,88,val
Citroen,60,val
Cupra,36,val
Dacia,63,val
Daewoo,44,val
Dodge,83,val
Fiat,77,val
Ford,60,val
Honda,66,val
Hyundai,78,val
Jaguar,94,val
Jeep,49,val
Kia,75,val
LandRover,81,val
Lexus,100,val
Maserati,63,val
Mazda,91,val
MercedesBenz,130,val
MG,55,val
MiniCooper,39,val
Mitsubishi,67,val
Nissan,60,val
Peugeot,78,val
Porche,82,val
Renault,70,val
Seat,77,val
Skoda,96,val
Smart,15,val
Subaru,73,val
Suzuki,56,val
Tesla,49,val
Toyota,104,val
Vauxhall,70,val
Volvo,91,val
VW,76,val
